               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.027845,            0.013004,                   0,             0.70559,             0.53226,             0.63291,             0.35534,            0.021941,           0.0080266,                   0,            0.002674,            0.002674,            0.002674
                  39,              0.0303,            0.014378,                   0,             0.70228,             0.53264,             0.62274,               0.338,            0.022895,           0.0081375,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.030874,             0.01405,                   0,             0.76982,             0.58065,             0.66309,              0.3291,            0.023474,           0.0080814,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.030055,             0.01468,                   0,             0.85199,             0.59677,             0.70155,             0.35708,            0.021827,           0.0080137,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.029788,             0.01424,                   0,             0.88484,             0.59677,             0.71395,             0.35902,             0.02193,           0.0079728,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.026763,             0.01337,                   0,             0.86022,              0.5956,             0.71192,             0.35127,            0.021756,           0.0081214,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.025632,            0.013245,                   0,             0.78143,              0.5767,             0.67418,             0.34725,            0.021681,           0.0082652,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.031107,            0.014474,                   0,             0.77577,             0.58065,             0.70089,             0.35139,            0.021739,           0.0080464,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.026784,             0.01346,                   0,             0.83504,              0.5716,             0.71888,             0.38002,            0.022058,           0.0077551,                   0,             0.00109,             0.00109,             0.00109
                  47,             0.02983,            0.013572,                   0,              0.9225,             0.57604,             0.73377,             0.39032,            0.021661,           0.0075152,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.027523,            0.013801,                   0,             0.89845,              0.6129,             0.76246,             0.38739,            0.021651,           0.0075598,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.026058,            0.012848,                   0,             0.89573,             0.58065,             0.74368,             0.38498,            0.021522,           0.0076696,                   0,            0.000496,            0.000496,            0.000496
